Region,City,Type,Month of Period End,Median Sale Price,Median Sale Price YoY ,Homes Sold,New Listings,New Listings YoY ,Inventory,Days on Market,Average Sale To List,Average Sale To List YoY 
NH,Dover,Home,2/1/2018,335000,0.06,12,31,0.82,93,79,1.01,0.02
NH,Dover,Home,3/1/2018,335000,0.03,31,41,-0.20,92,105,0.99,-0.02
NH,Dover,Home,4/1/2018,365000,0.23,33,42,0.08,97,59,0.99,0.00
NH,Dover,Home,5/1/2018,339000,0.08,33,44,-0.25,100,49,0.99,0.01
NH,Dover,Home,6/1/2018,319950,-0.01,36,48,0.26,113,44,1.01,0.01
NH,Dover,Home,7/1/2018,335000,-0.01,40,48,0.85,124,53,0.99,0.00
NH,Dover,Home,8/1/2018,302000,-0.05,37,46,0.10,119,59,0.99,-0.01
NH,Dover,Home,9/1/2018,326000,0.10,39,37,-0.05,118,58,1.00,0.03
NH,Dover,Home,10/1/2018,305000,0.02,31,27,-0.27,105,64,0.97,-0.02
NH,Dover,Home,11/1/2018,292867,0.03,22,20,-0.09,87,71,0.98,-0.02
NH,Dover,Home,12/1/2018,367000,-0.09,23,15,0.50,72,63,0.99,0.00
NH,Dover,Home,1/1/2019,357500,0.00,12,21,-0.28,74,88,0.99,0.00
NH,Dover,Home,2/1/2019,342000,0.02,20,25,-0.19,68,81,0.97,-0.04
NH,Dover,Home,3/1/2019,326000,-0.03,25,35,-0.15,75,56,0.99,0.00
NH,Dover,Home,4/1/2019,318000,-0.13,19,46,0.10,86,64,0.97,-0.02
NH,Dover,Home,5/1/2019,384967,0.14,36,41,-0.07,96,32,1.00,0.01
NH,Dover,Home,6/1/2019,333494,0.04,28,48,0.00,106,43,0.99,-0.01
NH,Dover,Home,7/1/2019,340000,0.01,50,49,0.02,108,50,0.99,0.00
NH,Dover,Home,8/1/2019,322500,0.07,34,42,-0.09,115,50,0.99,0.00
NH,Dover,Home,9/1/2019,345967,0.06,32,48,0.30,124,70,0.99,-0.01
NH,Dover,Home,10/1/2019,317500,0.04,32,26,-0.04,99,66,0.99,0.02
NH,Dover,Home,11/1/2019,343000,0.17,38,23,0.15,78,66,0.98,0.00
NH,Dover,Home,12/1/2019,300000,-0.18,25,14,-0.07,69,50,0.98,0.00
NH,Dover,Home,1/1/2020,330000,-0.08,16,27,0.29,67,59,0.98,0.00
NH,Dover,Home,2/1/2020,310000,-0.09,19,18,-0.28,59,50,1.00,0.03
NH,Dover,Home,3/1/2020,389933,0.20,29,32,-0.09,58,49,0.99,0.00
NH,Dover,Home,4/1/2020,394500,0.24,30,30,-0.35,62,45,0.99,0.01
NH,Dover,Home,5/1/2020,327500,-0.15,24,48,0.17,80,45,0.99,-0.01
NH,Dover,Home,6/1/2020,389000,0.17,39,41,-0.15,70,46,1.00,0.00
NH,Dover,Home,7/1/2020,368000,0.08,41,39,-0.20,66,46,1.00,0.01
NH,Dover,Home,8/1/2020,422467,0.31,38,44,0.05,70,43,1.01,0.02
NH,Dover,Home,9/1/2020,345000,0.00,38,30,-0.38,64,41,1.01,0.02
NH,Dover,Home,10/1/2020,347500,0.09,36,36,0.38,57,57,1.00,0.01
NH,Dover,Home,11/1/2020,431767,0.26,30,27,0.17,48,42,1.01,0.03
NH,Dover,Home,12/1/2020,369500,0.23,38,19,0.36,38,25,1.01,0.02
NH,Dover,Home,1/1/2021,358750,0.09,16,18,-0.33,40,63,1.00,0.02
NH,Dover,Home,2/1/2021,385000,0.24,23,30,0.67,32,51,1.03,0.03
NH,Dover,Home,3/1/2021,410000,0.05,16,32,0.00,43,28,1.01,0.01
NH,Dover,Home,4/1/2021,365500,-0.07,30,39,0.30,43,7,1.04,0.06
NH,Dover,Home,5/1/2021,425000,0.30,37,27,-0.44,34,8,1.03,0.04
